Bottom Floor  
# of lights       Classroom  
30                     Corridor 
120                   Gym 2 
120                   Gym 3 
120                   Gym 1 
20                    Team dressing room 6
20                    Team dressing room 
8                     Change room 1 
8                     Change room 2 
8                     Change room 3 
8                     Change room 4 
10                    Gym Sports Storage 
22                    Lecture  
16                    Drama  
24                    Exercise 
24                    Co-op 
18                    Student Success 
32                    Computer 
16                    Classroom 
16                    Classroom  
32                    Learning 
18                    Sp.Ed Seminar 
18                    Sp.Ed Seminar 
